generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,tech,tech_name,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped
hydrr,canterbury,hydrr,6385490.051889,0.000000,1.000000,708.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Canterbury,65.640251,0.000000,3600.000000,74.381739,4595.308695,6
hydsc,canterbury,hydsc,,0.000000,1.000000,1809.300000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Canterbury,63.055332,0.000000,3600.000000,,,3
solar,canterbury,solar,1530920.869565,0.000000,1.000000,63.000000,0.000000,2024,,2024,fixed,Solar,Solar,Canterbury,23.558811,0.000000,3600.000000,34.570000,131.018015,1
solar,canterbury,solar,1087621.333892,0.000000,1.000000,4006.000000,0.000000,2020,2020,,flexible,Solar,Solar,Canterbury,23.232344,0.000000,3600.000000,944.094921,5301.105984,25
wind,canterbury,wind,2159975.382605,0.000000,1.000000,470.600000,0.000000,2025,2025,,flexible,Wind,Wind,Canterbury,50.024822,0.000000,3600.000000,182.653995,1199.138410,4
dslpkr,hawkes_bay,dslpkr,,48.130651,0.327273,155.000000,0.000000,,,,flexible,DslPkr,"Peaker, diesel-fired OCGT",Hawke's Bay,27.092632,3.133322,11000.000000,,,1
hydsc,hawkes_bay,hydsc,,0.000000,1.000000,138.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Hawke's Bay,75.584954,0.000000,3600.000000,,,1
solar,hawkes_bay,solar,1409841.185396,0.000000,1.000000,70.000000,0.000000,2024,,2024,fixed,Solar,Solar,Hawke's Bay,23.558811,0.000000,3600.000000,36.645730,135.334613,1
solar,hawkes_bay,solar,1134854.596457,0.000000,1.000000,583.000000,0.000000,2025,2025,,flexible,Solar,Solar,Hawke's Bay,23.329143,0.000000,3600.000000,129.620654,791.240884,5
wind,hawkes_bay,wind,2479818.246401,0.000000,1.000000,176.000000,0.000000,2024,,2024,fixed,Wind,Wind,Hawke's Bay,41.239698,0.000000,3600.000000,21.518302,457.966314,1
wind,hawkes_bay,wind,2243555.852291,0.000000,1.000000,475.000000,0.000000,,,,flexible,Wind,Wind,Hawke's Bay,52.741978,0.000000,3600.000000,362.558320,1428.247350,4
hydsc,manawatu_whanganui,hydsc,,0.000000,1.000000,39.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Manawatū-Whanganui,76.085855,0.000000,3600.000000,,,1
solar,manawatu_whanganui,solar,1174159.557565,0.000000,1.000000,974.000000,0.000000,2024,2024,,flexible,Solar,Solar,Manawatū-Whanganui,23.558811,0.000000,3600.000000,294.334455,1437.965864,11
wind,manawatu_whanganui,wind,2337570.860967,0.000000,1.000000,2419.150000,0.000000,2024,2024,,flexible,Wind,Wind,Manawatū-Whanganui,49.503873,0.000000,3600.000000,578.578539,5021.131961,19
hydrr,marlborough,hydrr,5279244.692933,0.000000,1.000000,72.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Marlborough,74.317368,0.000000,3600.000000,13.881733,393.987351,1
solar,marlborough,solar,1477902.838083,0.000000,1.000000,205.000000,0.000000,2020,2020,,flexible,Solar,Solar,Marlborough,23.133502,0.000000,3600.000000,77.530000,380.500082,3
wind,marlborough,wind,2103130.223255,0.000000,1.000000,125.000000,0.000000,,,,flexible,Wind,Wind,Marlborough,49.645482,0.000000,3600.000000,45.821887,308.713165,2
hydsc,nelson,hydsc,,0.000000,1.000000,32.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Nelson,76.464087,0.000000,3600.000000,,,1
solar,nelson,solar,988076.457391,0.000000,1.000000,130.000000,0.000000,,,,flexible,Solar,Solar,Nelson,23.558811,0.000000,3600.000000,31.690000,160.139939,1
dslpkr,northland,dslpkr,,50.898764,0.330094,9.000000,0.000000,,,,flexible,DslPkr,"Peaker, diesel-fired OCGT",Northland,22.380870,3.133322,10906.000000,,,1
gaspkr,northland,gaspkr,1213001.596675,44.570325,0.306383,100.000000,0.000000,2030,2030,,flexible,GasPkr,"Peaker, gas-fired OCGT",Northland,5.418526,2.650366,11750.000000,13.192934,134.493094,1
geo,northland,geo,9104553.414634,0.000000,0.300000,142.000000,0.000000,2026,2026,,flexible,Geo,Geothermal,Northland,223.808703,0.000000,12000.000000,53.007324,799.580704,5
solar,northland,solar,1249208.260870,0.000000,1.000000,24.000000,0.000000,2024,,2024,fixed,Solar,Solar,Northland,20.444943,0.000000,3600.000000,24.200000,54.180998,1
solar,northland,solar,1117299.167043,0.000000,1.000000,585.700000,0.000000,2024,2024,,flexible,Solar,Solar,Northland,23.558811,0.000000,3600.000000,206.946336,825.594885,9
wind,northland,wind,2153767.133259,0.000000,1.000000,1323.000000,0.000000,2024,2024,,flexible,Wind,Wind,Northland,50.101034,0.000000,3600.000000,582.032202,3431.466119,10
biorecip,otago,biorecip,2485689.015489,16.012294,0.315789,10.000000,0.000000,2030,2030,,flexible,BioRecip,Reciprocating Biogas engine,Otago,21.173282,0.000000,11400.000000,0.661665,25.518555,1
hydpk,otago,hydpk,2957201.677961,0.000000,1.000000,17.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",Otago,153.132623,0.000000,3600.000000,17.203291,67.475720,1
hydrr,otago,hydrr,5878250.004487,0.000000,1.000000,725.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Otago,64.790447,0.000000,3600.000000,75.297483,4337.028736,4
hydsc,otago,hydsc,,0.000000,1.000000,839.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Otago,61.884357,0.000000,3600.000000,,,2
solar,otago,solar,1145798.494019,0.000000,1.000000,1919.000000,0.000000,2020,2020,,flexible,Solar,Solar,Otago,23.072015,0.000000,3600.000000,423.451174,2622.238484,12
wind,otago,wind,2423315.198309,0.000000,1.000000,924.000000,0.000000,2028,2028,,flexible,Wind,Wind,Otago,48.084910,0.000000,3600.000000,175.731590,2327.635486,5
hydsc,southland,hydsc,,0.000000,1.000000,800.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Southland,35.339084,0.000000,3600.000000,,,1
solar,southland,solar,1218174.991513,0.000000,1.000000,500.000000,0.000000,2025,2025,,flexible,Solar,Solar,Southland,23.558811,0.000000,3600.000000,121.510000,730.597496,4
wind,southland,wind,2337743.251636,0.000000,1.000000,991.000000,0.000000,2026,2026,,flexible,Wind,Wind,Southland,49.539448,0.000000,3600.000000,211.145825,2291.737319,9
ccgt,taranaki,ccgt,,10.116153,0.467532,380.000000,0.000000,,,,flexible,CCGT,Combined cycle gas turbine,Taranaki,48.295562,0.518294,7700.000000,,,1
gascog,taranaki,gascog,,18.070878,0.387097,95.000000,0.000000,,,,flexible,GasCog,"Cogeneration, gas-fired",Taranaki,46.837345,1.322268,9300.000000,,,2
gaspkr,taranaki,gaspkr,1213001.596675,24.150713,0.356819,510.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Taranaki,19.054921,1.250465,10089.156863,13.192934,134.493094,4
hydsc,taranaki,hydsc,,0.000000,1.000000,33.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Taranaki,76.402752,0.000000,3600.000000,,,1
ocgt,taranaki,ocgt,,16.726756,0.310345,9.600000,0.000000,,,,flexible,OCGT,Open cycle gas turbine,Taranaki,11.779405,0.000000,11600.000000,,,1
solar,taranaki,solar,1134567.835069,0.000000,1.000000,841.000000,0.000000,2025,2025,,flexible,Solar,Solar,Taranaki,23.321846,0.000000,3600.000000,261.976347,1216.147896,9
wind,taranaki,wind,2168358.110694,0.000000,1.000000,733.000000,0.000000,,,,flexible,Wind,Wind,Taranaki,48.575183,0.000000,3600.000000,132.883473,1433.898339,4
ccgt,waikato,ccgt,,15.888062,0.486486,403.000000,0.000000,,,,flexible,CCGT,Combined cycle gas turbine,Waikato,48.295562,1.319293,7400.000000,,,1
coal,waikato,coal,,23.293774,0.330275,400.000000,0.000000,,,,flexible,Coal,Coal,Waikato,96.591125,0.883455,10900.000000,,,2
gaspkr,waikato,gaspkr,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Waikato,5.418526,2.650366,11750.000000,39.578802,403.479281,3
geo,waikato,geo,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,Geo,Geothermal,Waikato,230.789404,0.000000,12000.000000,42.664431,1153.376064,2
geo,waikato,geo,6042694.636404,0.000000,0.300000,1421.400000,0.000000,2026,2026,,flexible,Geo,Geothermal,Waikato,218.365374,0.000000,12000.000000,252.263550,4022.905003,23
hydsc,waikato,hydsc,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Waikato,67.460618,0.000000,3600.000000,,,2
ocgt,waikato,ocgt,1528758.952784,26.793863,0.314088,510.800000,0.000000,,,,flexible,OCGT,Open cycle gas turbine,Waikato,22.187160,1.219671,11461.765857,5.889703,556.242926,4
othcog,waikato,othcog,,27.139750,0.300000,39.600000,0.000000,,,,flexible,OthCog,"Cogeneration, other",Waikato,82.455838,1.319293,12000.000000,,,1
solar,waikato,solar,1176342.254018,0.000000,1.000000,2357.000000,0.000000,2020,2020,,flexible,Solar,Solar,Waikato,23.558811,0.000000,3600.000000,540.192486,3312.831179,16
wind,waikato,wind,2229027.537854,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,Wind,Wind,Waikato,48.531150,0.000000,3600.000000,18.411211,241.313964,1
wind,waikato,wind,2194022.881444,0.000000,1.000000,1769.400000,0.000000,2025,2025,,flexible,Wind,Wind,Waikato,48.193739,0.000000,3600.000000,474.545127,4215.354140,13
wood,waikato,wood,,23.293774,0.330275,480.000000,0.000000,2032,,2032,fixed,Wood,Wood - Torrefied for use in coal generators,Waikato,96.591125,0.883455,10900.000000,,,2
solar,wellington,solar,1141887.233188,0.000000,1.000000,1163.000000,0.000000,2025,2025,,flexible,Solar,Solar,Wellington,23.558811,0.000000,3600.000000,332.415446,1660.430298,8
wind,wellington,wind,2164941.975635,0.000000,1.000000,867.600000,0.000000,,,,flexible,Wind,Wind,Wellington,49.559309,0.000000,3600.000000,199.009465,1638.695879,7
hydpk,west_coast,hydpk,5258472.733140,0.000000,1.000000,46.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",West Coast,75.707624,0.000000,3600.000000,7.939981,249.829726,1
hydrr,west_coast,hydrr,5731635.257422,0.000000,1.000000,144.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",West Coast,88.807011,0.000000,3600.000000,36.523911,861.879388,4
solar,west_coast,solar,1363712.196522,0.000000,1.000000,40.000000,0.000000,2030,2030,,flexible,Solar,Solar,West Coast,23.558811,0.000000,3600.000000,23.770000,78.318488,1
wind,west_coast,wind,2143064.075623,0.000000,1.000000,75.000000,0.000000,,,,flexible,Wind,Wind,West Coast,47.541680,0.000000,3600.000000,27.610926,188.340732,1
